,fov,round,ch,zplane,path,sha256,xc_min,xc_max,yc_min,yc_max,zc_min,zc_max,tile_width,tile_height
84,3,0,0,9,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z009_t000_p003.png,ed2f379f1c93b992cd1006db00fd9347ab4ec0adb10212090b9b9d9928a61e71,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1772.95414,1772.95414,2048,2048
85,3,0,0,10,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z010_t000_p003.png,12533d4868d3f1b62d33ce349426e69958e3f278c18ecf34be4375c58eca0813,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1773.45414,1773.45414,2048,2048
86,3,0,0,11,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z011_t000_p003.png,77b231c7fdee23a19faf96210714507af1a440dfd49f748272cb7ef7ad86c7c2,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1773.95414,1773.95414,2048,2048
87,3,0,0,12,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z012_t000_p003.png,99092922e4e11ac1f5f9432183e15457cfb235571bdee331ac6fadd4d5f9f008,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1774.45414,1774.45414,2048,2048
88,3,0,0,13,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z013_t000_p003.png,2442d25c6304f311c84ee733cb1529f81c2893758b5b720bf38f5935e1b7d505,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1774.95414,1774.95414,2048,2048
89,3,0,0,14,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z014_t000_p003.png,803a3ee270287e13d80e4fbf1c301f2ba7fc85cb282646af6e3993367348b997,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1775.45414,1775.45414,2048,2048
90,3,0,0,15,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z015_t000_p003.png,66c49a52604b82956ba28d7e77e2b941434f76681014b33dc610a1e882358a7b,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1775.95414,1775.95414,2048,2048
91,3,0,0,16,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z016_t000_p003.png,0719ec0f92dee0114e6c73db0bbbb842eed198adb3c53e3157ddabcc5e0e06ce,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1776.45414,1776.45414,2048,2048
92,3,0,0,17,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z017_t000_p003.png,e03535804784060d209ad18125d0008c52483acf7ebf1ddc50413afb06581d0d,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1776.95414,1776.95414,2048,2048
93,3,0,0,18,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z018_t000_p003.png,bd3ec99f4316abaee61b814173c33732e3b2b684592cff4c91f459cf86c04eab,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1777.45414,1777.45414,2048,2048
94,3,0,0,19,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z019_t000_p003.png,b239c6a35ca4d3f4ab3e65f499ea97238df0a358c525c7a63bc121795fcd64d1,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1777.95414,1777.95414,2048,2048
95,3,0,0,20,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z020_t000_p003.png,1ef0aa6920791bfd14216a2d2adda2168683de37f38088919df55dadd7502668,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1778.45414,1778.45414,2048,2048
96,3,0,0,21,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z021_t000_p003.png,2fab1c7d43263feb40cd840e2822e06fe41c7152b8ff330e151d15952d56f302,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1778.95414,1778.95414,2048,2048
97,3,0,0,22,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z022_t000_p003.png,efb483f09b3a070ae56c92610cc60c673a1340f3b2e39b79c6248c3be380fcab,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1779.45414,1779.45414,2048,2048
98,3,0,0,23,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z023_t000_p003.png,a17c72edefdba21320cec1d5904e9e689f256b3841da20fc1649cdbcae2f85ea,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1779.95414,1779.95414,2048,2048
99,3,0,0,24,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z024_t000_p003.png,62f29d3839a38bd0e0d3e43d311b85006593287b9d9ffea2bac6e1e1cbde1f4f,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1780.45414,1780.45414,2048,2048
